YÄ±llar,5 CM TOPRAK SICAKLIKLARI,10 CM TOPRAK SICAKLIKLARI,20 CM TOPRAK SICAKLIKLARI,50 CM TOPRAK SICAKLIKLAR,100 CM TOPRAK SICAKLIKLARI,TOPLAM YAGIS,ORTALAMA SICAKLIK,ORTALAMA NEM,ORTALAMA KAR ORTULU GUNLER SAYISI,ORTALAMA TOPLAM DOLULU GUNLER SAYISI,MINIMUM SICAKLIKLARIN ORTALAMASI,MAKSIMUM SICAKLIKLARIN ORTALAMASI,GUNLUK GUNESLENME SURELERI,URETIM MIKTARI(Ton)
2002,15.9,15.8,15.6,15.5,15.5,634,13.2,64.2,38.8,0.903,7.7,19.2,7,0.34
2003,16,15.9,15.6,15.5,15.3,664.4,13.2,63.7,31,0.639,7.9,19,6.8,15
2004,16.1,16,15.8,15.6,15.5,607.4,13.2,62.2,36,0.549,7.6,19.2,6.9,20
2005,16,15.9,15.7,15.6,15.5,637.2,13.3,63.2,25.4,0.896,7.9,19.2,6.7,87.7
2006,16.2,16.1,15.9,15.7,15.6,607.4,13.3,63.6,31.3,0.903,7.9,19.3,6.8,25.52
2007,16.4,16.2,16,15.8,15.7,596.7,13.8,61.3,25.9,0.993,8.2,19.8,6.8,47.25
2008,16.8,16.2,15.8,15.7,15.7,463.1,13.6,61,31.9,0.986,8,19.7,6.9,140.03
2009,16.9,16.4,15.9,15.7,15.6,793.8,13.7,63.8,19.5,2.069,8.4,19.5,6.5,364.76
2010,18.1,17.6,17.1,16.8,16.6,703,15.1,62.9,12.7,1.806,9.7,20.1,6.5,215.7
2011,16.8,15.8,15.3,15.3,15.5,642.2,12.8,63.1,20.2,1.84,7.6,18.7,6.7,220.28
2012,16.7,16.5,16.3,15.9,15.7,695.2,13.8,62.1,39.9,1.507,8.5,19.7,6.8,188.84
2013,16.7,16.6,16.5,16.3,16,547,13.8,59.6,23.8,1.611,8.3,19.9,6.8,198.23
2014,17.1,17,15.5,15.3,15.2,641.6,14.5,62.6,11.2,1.576,9.3,20.5,6.5,1454.81
2015,16.6,16.5,16.4,16.1,15.9,637.8,13.8,62.4,25.5,1.542,8.6,19.8,6.5,123
2016,16.5,16.6,16.6,16.3,16.1,605.7,14,61.1,29.5,1.667,8.5,20.2,6.6,235.6
2017,16,16,15.9,15.7,15.5,553.4,13.7,61.5,25.8,1.208,8.3,20,6.5,385.95
2018,17.1,17.1,17.1,16.7,16.5,639.2,15.1,64.4,9.4,1.563,10,21.1,6.1,521.7
2019,16.3,16.4,16.4,16.1,15.8,639.7,14.4,63.4,17.6,1.236,9.1,20.4,6.6,380.16
2020,16.4,15.9,15.9,15.9,15.8,507.6,14.6,61.6,39.4,1.521,9.2,20.7,6,876.15
2021,16.3,16.4,16.4,16,16.1,579.7,14.5,60.6,18.1,2.686,9.1,20.7,6.5,1095.04
